step,regime,p_new,u_pred,u_actual,q_pred,q_actual,demand_shift,revenue_baseline,revenue_new,revenue_gain_pct,utilization_new,reward,reward_revenue_component,reward_utilization_component,reward_congestion_component,pricing_efficiency,epsilon,alpha,beta,fallback_used,data_source,utilization_value,price_applied,revenue_this_step,hour_of_day,is_peak_hour
14,surge,16.64652407169342,0.50744206,0.5085291118280095,0.0,0.08529111828009528,-0.028095563081456543,91265227.16242693,98437643.35644643,7.858870697001141,0.5057195555198639,-22.823512582424183,7.858870697001141,-0.2809556308145611,74.48301339489927,16.17883060455017,0.2559534072213177,4.0,4.0,False,unified,0.5085291118280095,16.64652407169342,98437643.35644643,6.0,0.0
15,surge,15.809621214866638,0.49349368,0.4965333041290337,0.0,0.0,-0.013815020566918574,103448624.69995344,107525955.5016798,3.941406484187113,0.49515180207234183,4.929830232877561,3.941406484187113,-0.13815020566918523,-10.808104885196013,15.591210972628065,0.2559534072213177,4.0,4.0,False,unified,0.4965333041290337,15.809621214866638,107525955.5016798,6.0,0.0
16,neutral,15.662334442138672,0.4129867,0.4184667227574035,3.633343714315372e-05,0.0,-0.011301783812361584,94438816.16665235,97494365.95839754,3.2354808285114256,0.41733654437616735,4.705168447794623,3.2354808285114256,-0.11301783812361355,-10.808104885196013,15.485322124276715,0.2559534072213177,4.0,4.0,False,unified,0.4184667227574035,15.662334442138672,97494365.95839754,7.0,0.0
17,neutral,15.998790740966797,0.43990317,0.4457712843776086,0.0,0.0,-0.017108463666965088,80143970.65874073,84018002.02805325,4.833840072397276,0.4440604380109121,5.213464954756762,4.833840072397276,-0.17108463666964946,-10.808104885196013,15.725076010859592,0.25693765918982164,4.0,4.0,False,unified,0.4457712843776086,15.998790740966797,84018002.02805325,7.0,0.0
18,neutral,16.04913902282715,0.44393116,0.4450413243281201,0.0,0.0,-0.018039661765484095,81160744.777739,85270822.19542953,5.064119888187441,0.44323735815157167,5.286384340242401,5.064119888187441,-0.18039661765484327,-10.808104885196013,15.759617983228114,0.2579209433589465,4.0,4.0,False,unified,0.4450413243281201,16.04913902282715,85270822.19542953,7.0,0.0
19,neutral,16.076435089111328,0.44611475,0.4536956130861579,0.0,0.0,-0.01857950370026493,85433806.21882184,89863508.6547332,5.184952692574118,0.4518376627161314,5.3244776873052295,5.184952692574118,-0.18579503700265065,-10.808104885196013,15.777742903886116,0.25890326163006633,4.0,4.0,False,unified,0.4536956130861579,16.076435089111328,89863508.6547332,7.0,0.0
20,surge,16.612130999565125,0.50686884,0.5122913267957176,0.0,0.1229132679571765,-0.02793120304005231,93089635.15444043,100214928.0467713,7.654227971255498,0.5094982064917124,-31.566277739517858,7.654227971255498,-0.27931203040052477,100.0,16.148134195688325,0.2598846158989574,4.0,4.0,False,unified,0.5122913267957176,16.612130999565125,100214928.0467713,7.0,0.0
21,neutral,15.062161445617676,0.36497292,0.3655928930924317,0.0,0.0,-0.00107698689453824,49254359.419162355,49405208.10288906,0.3062646342488379,0.3654851944029779,3.772268933516785,0.3062646342488379,-0.010769868945381678,-10.808104885196013,15.045939695137324,0.2598846158989574,4.0,4.0,False,unified,0.3655928930924317,15.062161445617676,49405208.10288906,8.0,0.0
22,discount,14.995070815086365,0.35876772,0.3591006331017385,0.0,0.0,8.572314193771757e-05,49880254.424958944,49868137.64547139,-0.024291735531915708,0.3591092054159323,3.667022274609507,-0.024291735531915708,0.0008572314193766584,-10.808104885196013,14.996356239670213,0.2608640478284383,4.0,4.0,False,unified,0.3591006331017385,14.995070815086365,49868137.64547139,8.0,0.0
23,neutral,15.011574745178223,0.36092603,0.3613714436539154,0.0,0.0,-0.0002012956586515907,49291848.07495456,49319954.22216278,0.05701986901664199,0.3613513140880502,3.692907942068586,0.05701986901664199,-0.0020129565865167898,-10.808104885196013,15.008552980352496,0.2608640478284383,4.0,4.004892367906066,False,unified,0.3613714436539154,15.011574745178223,49319954.22216278,8.0,0.0
24,neutral,15.765191078186035,0.4212153,0.4244403189356983,0.0,0.0,-0.013357255292434795,74216528.0438994,76960616.85997131,3.6974093081379014,0.4231045934064548,4.850821790187117,3.6974093081379014,-0.13357255292434922,-10.808104885196013,15.554611396220688,0.26184156493498767,4.0,4.004892367906066,False,unified,0.4244403189356983,15.765191078186035,76960616.85997131,8.0,0.0
25,neutral,15.097848892211914,0.36782786,0.3706245302731067,0.0,0.0,-0.0017144308415148802,50868529.950106844,51112579.09654827,0.47976449620382594,0.3704530871889552,3.8274203229369075,0.47976449620382594,-0.017144308415151244,-10.808104885196013,15.071964674430575,0.26281812743498767,4.0,4.004892367906066,False,unified,0.3706245302731067,15.097848892211914,51112579.09654827,9.0,0.0
26,neutral,15.158355712890625,0.37266845,0.376846146437926,0.0,0.0,-0.002784883020598432,44862911.287470445,45210274.23820931,0.7742764363040245,0.3765676581358662,3.921076770978998,0.7742764363040245,-0.027848830205984276,-10.808104885196013,15.116141465445603,0.26379373719108523,4.0,4.004892367906066,False,unified,0.376846146437926,15.158355712890625,45210274.23820931,10.0,0.0
27,neutral,15.059613227844238,0.36476907,0.3674263229292095,0.0,0.0,-0.0010522465813537982,32879975.906275876,32975912.664444257,0.29177867539151403,0.3673210982710741,3.7675702101273765,0.29177867539151403,-0.010522465813539439,-10.808104885196013,15.043766801308728,0.26476839606048097,4.0,4.004892367906066,False,unified,0.3674263229292095,15.059613227844238,32975912.664444257,10.0,0.0
28,neutral,15.024672508239746,0.36197385,0.3616574551677571,0.0,0.0,-0.00043710161982270934,34162086.11223213,34203320.20463713,0.12070133032725408,0.3616137450057748,3.713144664629223,0.12070133032725408,-0.004371016198229105,-10.808104885196013,15.018105199549085,0.2657421058949503,4.0,4.004892367906066,False,unified,0.3616574551677571,15.024672508239746,34203320.20463713,10.0,0.0
29,neutral,15.056962966918945,0.36455706,0.3646853092950125,0.0,0.0,-0.0010128580155656082,35745860.63249294,35845263.67803169,0.278082675252183,0.364584023493456,3.763180512348499,0.278082675252183,-0.010128580155654987,-10.808104885196013,15.041712401287826,0.2667148685408647,4.0,4.004892367906066,False,unified,0.3646853092950125,15.056962966918945,35845263.67803169,10.0,0.0
30,neutral,15.107938766479492,0.36863518,0.37466051858795,0.0,0.0,-0.0019262513781645302,46009338.22512099,46251154.34608215,0.5255805240622401,0.3744678934501336,3.841840604359242,0.5255805240622401,-0.019262513781642676,-10.808104885196013,15.078837078609336,0.26768668583921257,4.0,4.004892367906066,False,unified,0.37466051858795,15.107938766479492,46251154.34608215,11.0,0.0
31,discount,14.9793861818057,0.35485286,0.3548286739431135,0.0,0.0,0.0003692038727098033,33974320.38750216,33940157.23601829,-0.10055580536774576,0.3548655943303845,3.642790617975231,-0.10055580536774576,0.0036920387270988897,-10.808104885196013,14.984916629194839,0.2686575596256203,4.0,4.004892367906066,False,unified,0.3548286739431135,14.9793861818057,33940157.23601829,11.0,0.0
32,discount,14.986258708407137,0.35656056,0.3560834810076679,0.0,0.0,0.00024611345769617854,44444270.31379038,44414483.84784291,-0.06701981096139016,0.35610809235343754,3.6534512977597844,-0.06701981096139016,0.0024611345769642856,-10.808104885196013,14.989947028355793,0.2686575596256203,4.0,3.9951930468585397,False,unified,0.3560834810076679,14.986258708407137,44414483.84784291,11.0,0.0
33,neutral,15.377998352050781,0.39023995,0.389340660083216,0.0,0.0,-0.0067701409869645995,60505071.90001069,61609842.62016561,1.8259142340672492,0.3886636459845195,4.254965892951853,1.8259142340672492,-0.06770140986964712,-10.808104885196013,15.273887135110087,0.2686575596256203,4.0,3.9855031243779195,False,unified,0.389340660083216,15.377998352050781,61609842.62016561,12.0,0.0
34,neutral,15.418710708618164,0.39349684,0.3956771176407307,0.0,0.0,-0.0075263421220769155,63629923.275051974,64913823.334352635,2.0177614449584804,0.39492448342852304,4.31578000880009,2.0177614449584804,-0.07526342122076701,-10.808104885196013,15.302664216743771,0.2696256138366561,4.0,3.9855031243779195,False,unified,0.3956771176407307,15.418710708618164,64913823.334352635,12.0,0.0
35,neutral,15.26470947265625,0.38117674,0.382262955059252,0.0,0.0,-0.004775230623068217,58103111.98137361,58846122.81937524,1.278779763534562,0.3817854319969452,4.080994721876926,1.278779763534562,-0.04775230623068061,-10.808104885196013,15.191816964530183,0.2705927318250507,4.0,3.9855031243779195,False,unified,0.382262955059252,15.26470947265625,58846122.81937524,12.0,0.0
36,neutral,15.562397003173828,0.4049917,0.4026909738920379,0.0,0.0,-0.010181594680403715,84571225.98748943,86848712.10244118,2.6929798975465387,0.40167281442399755,4.529839764711671,2.6929798975465387,-0.10181594680403472,-10.808104885196013,15.403946984631983,0.27155891539992993,4.0,3.9855031243779195,False,unified,0.4026909738920379,15.562397003173828,86848712.10244118,13.0,0.0
37,neutral,15.339897155761719,0.38719174,0.3920249761771237,0.0,0.0,-0.006175345934923897,61883364.693335444,62894819.34523797,1.6344532281249011,0.3914074415836313,4.1937465846626125,1.6344532281249011,-0.0617534593492397,-10.808104885196013,15.245167984218735,0.2725241663651809,4.0,3.9855031243779195,False,unified,0.3920249761771237,15.339897155761719,62894819.34523797,13.0,0.0
38,neutral,15.04698657989502,0.363759,0.3670381083509417,0.0,0.0,-0.0008566859081476766,43192795.25625665,43290975.47034727,0.22730692354623927,0.3669524397601269,3.7469398822400164,0.22730692354623927,-0.008566859081476919,-10.808104885196013,15.034096038531937,0.2734884865194721,4.0,3.9855031243779195,False,unified,0.3670381083509417,15.04698657989502,43290975.47034727,14.0,1.0
39,neutral,15.017965316772461,0.36143723,0.3621721680550139,0.0,0.0,-0.00032870766139277667,45862932.20628051,45902768.12703151,0.08685864342871268,0.3621392972888746,3.7023342780155235,0.08685864342871268,-0.0032870766139281304,-10.808104885196013,15.013028796514307,0.27445187765627366,4.0,3.9855031243779195,False,unified,0.3621721680550139,15.017965316772461,45902768.12703151,14.0,1.0
40,discount,14.985560606172047,0.35637704,0.3579888679910307,0.0,0.0,0.0002651210762471418,46796133.13118852,46763480.64301615,-0.06977603914586075,0.3580153800986554,3.6526044676001264,-0.06977603914586075,0.0026512107624721004,-10.808104885196013,14.989533594128122,0.2754143415638771,4.0,3.9855031243779195,False,unified,0.3579888679910307,14.985560606172047,46763480.64301615,14.0,1.0
41,discount,14.980453274164645,0.35508963,0.3552466258970499,0.0,0.0,0.0003588965750449199,51496167.18772926,51447519.47107893,-0.09446861641757588,0.3552825155545544,3.6447653762464935,-0.09446861641757588,0.0035889657504506456,-10.808104885196013,14.985829707537365,0.2754143415638771,4.0,3.980695432070227,False,unified,0.3552466258970499,14.980453274164645,51447519.47107893,14.0,1.0
42,discount,14.930561295299244,0.34253508,0.3457750554339173,0.0,0.0,0.0012749610089471532,38114225.81252172,37986154.84524886,-0.3360188080503527,0.34590255153481203,3.568076825639555,-0.3360188080503527,0.012749610089474173,-10.808104885196013,14.949597178792446,0.2754143415638771,4.0,3.9758923581028878,False,unified,0.3457750554339173,14.930561295299244,37986154.84524886,15.0,1.0
43,discount,14.93058557121974,0.3425201,0.3452079974922866,0.0,0.0,0.0012745152798365187,37773308.00611908,37646427.03810911,-0.3359011288855533,0.34533544902027025,3.568114188857873,-0.3359011288855533,0.012745152798365744,-10.808104885196013,14.949614830667167,0.2754143415638771,4.0,3.971093893611525,False,unified,0.3452079974922866,14.93058557121974,37646427.03810911,15.0,1.0
44,discount,14.968422878916718,0.35202903,0.3509430124782569,0.0,0.0,0.0005797861341090044,42729369.85873413,42664140.236620076,-0.15265758032404392,0.35100099109166777,3.6262919537022698,-0.15265758032404392,0.005797861341089172,-10.808104885196013,14.977101362951393,0.2754143415638771,4.0,3.9615061659029918,False,unified,0.3509430124782569,14.968422878916718,42664140.236620076,15.0,1.0
45,discount,14.930355415400156,0.3423984,0.3432034513234699,0.0,0.0,0.001278741160737058,39260618.324724324,39128303.433183536,-0.337016830571573,0.3433313254395436,3.567759952708457,-0.337016830571573,0.012787411607367849,-10.808104885196013,14.949447475414262,0.2754143415638771,4.0,3.9567168938723403,False,unified,0.3432034513234699,14.930355415400156,39128303.433183536,16.0,1.0
46,discount,14.950368521006947,0.34744123,0.3482574495462637,0.0,0.0,0.0009112814071808724,40942152.9185728,40843871.31835136,-0.24004990752905966,0.3483485776869818,3.598546420125752,-0.24004990752905966,0.009112814071809971,-10.808104885196013,14.96399251387064,0.2754143415638771,4.0,3.951932204877125,False,unified,0.3482574495462637,14.950368521006947,40843871.31835136,16.0,1.0
47,discount,14.94254237773999,0.34542564,0.3481149278142563,0.0,0.0,0.0010549768801711092,45209538.58139685,45083875.39718441,-0.27795723680344653,0.3482204255022734,3.5865111965260716,-0.27795723680344653,0.010549768801709769,-10.808104885196013,14.958306414479482,0.2754143415638771,4.0,3.942371975431618,False,unified,0.3481149278142563,14.94254237773999,45083875.39718441,17.0,1.0
48,discount,14.919691153172305,0.33960462,0.3387320067667117,0.0,0.0,0.0014745472113869194,43672831.78107222,43503063.66943945,-0.38872705228688464,0.3388794614878504,3.55134173950955,-0.38872705228688464,0.014745472113869562,-10.808104885196013,14.941690942156965,0.2754143415638771,4.0,3.9375964262434615,False,unified,0.3387320067667117,14.919691153172305,43503063.66943945,17.0,1.0
49,discount,14.921312204539637,0.33996776,0.3352080875778032,0.0,0.0,0.0014447831583885918,42863565.52517351,42700313.249524854,-0.38086489924123657,0.33535256589364204,3.553838028639719,-0.38086489924123657,0.01444783158388585,-10.808104885196013,14.942870265113815,0.2754143415638771,4.0,3.928054441510637,False,unified,0.3352080875778032,14.921312204539637,42700313.249524854,18.0,0.0
50,discount,14.923568192100385,0.34051844,0.3322350341367273,0.0,0.0,0.0014033610698139494,44835880.649913535,44670021.80753273,-0.36992435517406674,0.33237537024370867,3.5573117152895883,-0.36992435517406674,0.014033610698138688,-10.808104885196013,14.944511346723887,0.2754143415638771,4.0,3.9232879972780346,False,unified,0.3322350341367273,14.923568192100385,44670021.80753273,18.0,0.0
51,neutral,15.165003776550293,0.3732004,0.3766192975655901,0.0,0.0,-0.003029627098276803,49464184.57496001,49856796.54879726,0.7937298010892488,0.37631633485576244,3.926688725901784,0.7937298010892488,-0.030296270982765883,-10.808104885196013,15.119059470163387,0.2754143415638771,4.0,3.9280499020399393,False,unified,0.3766192975655901,15.165003776550293,49856796.54879726,19.0,0.0
52,neutral,15.413838386535645,0.39310712,0.3964602072962097,0.0,0.0,-0.007624718902120369,64115437.20728967,65381982.964471065,1.9754146775706458,0.3956977354059976,4.30148093218796,1.9754146775706458,-0.07624718902120575,-10.808104885196013,15.296312201635596,0.2763658163497953,4.0,3.9280499020399393,False,unified,0.3964602072962097,15.413838386535645,65381982.964471065,19.0,0.0
53,neutral,15.555851936340332,0.40446812,0.404676842822454,0.0,0.0,-0.010276456701443521,51919871.70022191,53290531.728918605,2.639952649749778,0.4036491971523096,4.512027728269308,2.639952649749778,-0.10276456701443504,-10.808104885196013,15.395992897462465,0.2773163866920006,4.0,3.9280499020399393,False,unified,0.404676842822454,15.555851936340332,53290531.728918605,20.0,0.0
54,neutral,15.513633728027344,0.40109074,0.4060415958454568,0.0,0.0,-0.00952845539052329,63051085.05773315,64588744.4921085,2.4387517406994426,0.40508875030640445,4.448099832608734,2.4387517406994426,-0.09528455390523383,-10.808104885196013,15.365812761104918,0.2782660543083349,4.0,3.9280499020399393,False,unified,0.4060415958454568,15.513633728027344,64588744.4921085,20.0,0.0
55,neutral,15.923330307006836,0.4338665,0.4357048493695094,0.0,0.0,-0.017187167087553686,65440310.81245821,68274545.36915287,4.331022456200034,0.43398613266075403,5.0472754201237295,4.331022456200034,-0.17187167087553412,-10.808104885196013,15.649653368430005,0.2792148209117505,4.0,3.9280499020399393,False,unified,0.4357048493695094,15.923330307006836,68274545.36915287,21.0,0.0
56,neutral,15.894580841064453,0.4315665,0.4349758449827547,0.0,0.0,-0.016708544883604935,51697161.645004034,53865014.993874006,4.193370157836259,0.4333049904943942,5.003429614936714,4.193370157836259,-0.1670854488360518,-10.808104885196013,15.62900552367544,0.2801626882103287,4.0,3.9280499020399393,False,unified,0.4349758449827547,15.894580841064453,53865014.993874006,21.0,0.0
57,neutral,15.783781051635742,0.42270243,0.4262050643621214,0.0,0.0,-0.014688561553303071,51371910.5249678,53262191.38613566,3.6796000807662157,0.4247362082067911,4.840551434493595,3.6796000807662157,-0.14688561553303225,-10.808104885196013,15.551940012114933,0.2811096579072984,4.0,3.9280499020399393,False,unified,0.4262050643621214,15.783781051635742,53262191.38613566,21.0,0.0
58,neutral,15.789719581604004,0.42317757,0.4242415381902548,0.0,0.0,-0.014849662295197852,52652318.02481862,54601322.829061784,3.701650520542066,0.422756571960735,4.847296447171374,3.701650520542066,-0.14849662295197685,-10.808104885196013,15.55524757808131,0.2820557317010543,4.0,3.9280499020399393,False,unified,0.4242415381902548,15.789719581604004,54601322.829061784,21.0,0.0
59,neutral,15.652627944946289,0.41221023,0.4133337418250612,0.0,0.0,-0.0123129535433314,61580095.83751707,63468132.80783028,3.0659857615274215,0.4121024464707281,4.6458982155777,3.0659857615274215,-0.12312953543331395,-10.808104885196013,15.459897864229113,0.2830009112851753,4.0,3.9280499020399393,False,unified,0.4133337418250612,15.652627944946289,63468132.80783028,21.0,0.0
60,neutral,16.13744354248047,0.4509955,0.4543157752630812,0.0,0.0,-0.021531442151984784,65059172.08139979,68485539.88141765,5.2665407357642104,0.45216263104788273,5.341660344667285,5.2665407357642104,-0.2153144215198466,-10.808104885196013,15.789981110364634,0.2839451983484425,4.0,3.9280499020399393,False,unified,0.4543157752630812,16.13744354248047,68485539.88141765,22.0,0.0
61,neutral,16.063547134399414,0.4450839,0.4524744209634381,0.0,0.0,-0.02019949655887775,51239312.34366609,53763946.94269718,4.927143795564953,0.45045447130755034,5.234054774858784,4.927143795564953,-0.2019949655887754,-10.808104885196013,15.739071569334744,0.2848885945748576,4.0,3.9280499020399393,False,unified,0.4524744209634381,16.063547134399414,53763946.94269718,22.0,0.0
62,neutral,16.044721603393555,0.44357774,0.443617743452234,0.0,0.0,-0.01990759512059408,53233556.20493945,55807610.80762363,4.835398545936976,0.4416269839401746,5.2047421172278865,4.835398545936976,-0.19907595120594035,-10.808104885196013,15.725309781890546,0.2858311016436606,4.0,3.9280499020399393,False,unified,0.443617743452234,16.044721603393555,55807610.80762363,22.0,0.0
63,neutral,15.761510848999023,0.42092085,0.4232063404860249,0.0,0.0,-0.014558702560874737,62194310.00616361,64400316.06311921,3.5469580042563016,0.42175047022993745,4.797208083920339,3.5469580042563016,-0.14558702560874548,-10.808104885196013,15.532043700638445,0.286772721229348,4.0,3.9280499020399393,False,unified,0.4232063404860249,15.761510848999023,64400316.06311921,22.0,0.0
64,neutral,16.268342971801758,0.46146744,0.4651596922813454,0.0,0.0,-0.024327955902946355,54271294.5376175,57428318.845251724,5.817116275798384,0.46272689669105077,5.514121777500389,5.817116275798384,-0.2432795590294634,-10.808104885196013,15.872567441369759,0.28771345500169043,4.0,3.9280499020399393,False,unified,0.4651596922813454,16.268342971801758,57428318.845251724,23.0,0.0
65,neutral,16.283639907836914,0.4626911,0.4681177286565356,0.0,0.0,-0.024701793423107944,55606077.937305585,58873508.865868926,5.876031991048326,0.4656475493142248,5.532330299716336,5.876031991048326,-0.24701793423108076,-10.808104885196013,15.881404798657249,0.28865330462575056,4.0,3.9280499020399393,False,unified,0.4681177286565356,16.283639907836914,58873508.865868926,23.0,0.0
66,neutral,15.970575332641602,0.43764603,0.4405068884310921,0.0,0.0,-0.018738074366382928,53447123.643660314,55839122.95439361,4.475450029230947,0.4386330809944538,5.089818525203794,4.475450029230947,-0.18738074366382862,-10.808104885196013,15.671317504384643,0.2895922717619008,4.0,3.9280499020399393,False,unified,0.4405068884310921,15.970575332641602,55839122.95439361,23.0,0.0
67,neutral,15.892430305480957,0.43139443,0.4376484908927113,0.0,0.0,-0.017285206413346008,67186793.00647336,69953663.24450417,4.118175781606694,0.4359199702513767,4.9767124877328115,4.118175781606694,-0.17285206413346077,-10.808104885196013,15.617726367241003,0.29053035806584077,4.0,3.9280499020399393,False,unified,0.4376484908927113,15.892430305480957,69953663.24450417,23.0,0.0
